input,tags
"Absinthe charges headlong into the fray, as he does. He closes a significant distance, much to the surprise of the hobgoblins marching in the party's direction. The wolves, at first simply running forward, focus on the giant of a man now closest to them, and dash to meet him. 19- Absinthe / 120' away from hobgoblins / 30' away from wolves 15- Dirk 15- Wolves / AC 13 / HP 11 / 110' away from party 1) 2) 14- Hymir 12- Az Emberi 8- Fjolnir 7- Hobgoblins / AC 18 / HP 11 / 200' away 1) 2) Targor) Taken 5 damage. 3) 5- Dustfinger Dirk, Hymir and Fjolnir are up! Az Emberi hears the sounds of combat and rushes to an exit (I'll let you decide which one, but it'll take your turn to get there. You are still unseen to them.)","[{""creature"":{""words"":[[""Hymir"",""Fjolnir""],[""Dustfinger"",""Dirk,""]],""indices"":[[106,108],[104,105]]},""target"":{""words"":[[""Az"",""Emberi""]],""indices"":[[111,112]]}},{""target"":{""words"":[[""Targor)""]],""indices"":[[98]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[100]]}},{""damageRoll"":{""words"":[[""14-"",""12-"",""8-"",""7-""],[""19-"",""15-"",""15-""]],""indices"":[[78,80,83,85],[49,61,63]]}},{""creature"":{""words"":[[""Dirk""],[""Absinthe""]],""indices"":[[62],[50]]},""target"":{""words"":[[""hobgoblins""]],""indices"":[[55]]},""attack"":{""words"":[[""Wolves""],[""wolves""]],""indices"":[[64],[60]]}},{""creature"":{""words"":[[""wolves,""]],""indices"":[[27]]}},{""creature"":{""words"":[[""hobgoblins""],[""Absinthe""]],""indices"":[[20],[0]]},""attack"":{""words"":[[""headlong""]],""indices"":[[2]]},""target"":{""words"":[[""fray,""]],""indices"":[[5]]}}]"
"Absinthe connects with the torch, hitting his leg and also burning him slightly. (3 bludgeoning and also 1 fire damage. Taken 15 damage total) The kick catches the wolf under the chin. There's a crack, it appears that the jaw dislocates, and Ripper flips backwards and lands sprawled out a few feet back, lifeless.","[{""target"":{""words"":[[""Ripper""]],""indices"":[[42]]},""spell"":{""words"":[[""sprawled""]],""indices"":[[47]]}},{""creature"":{""words"":[[""kick""]],""indices"":[[25]]},""target"":{""words"":[[""wolf""]],""indices"":[[28]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""damageRoll"":{""words"":[[""(3"",""1"",""15""]],""indices"":[[13,17,21]]},""attack"":{""words"":[[""bludgeoning"",""fire"",""damage.""]],""indices"":[[14,18,19]]}}]"
Absinthe helps sever the head of Venomfang again. Then he cuts a hole between Venomfangs hind legs just before the tail and stuffs the neck up the newly created ass hole. Strength check: 20,"[{""target"":{""words"":[[""Venomfangs""]],""indices"":[[14]]},""feature"":{""words"":[[""tail"",""stuffs""]],""indices"":[[20,22]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[33]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""Venomfang""]],""indices"":[[6]]}}]"
"Absinthe misses like a boss with both swings. The untimed bobbing and weaving throws the monk off and he can't connect. Fjolnir, however, nails both zombies near the doorway in a feat of precision. 12 Zomie #3 fails at life, and crumples into a heap of rotting flesh on the floor. Bits fall off of zombie #4. 21- Az Emberi and 17- Dirk are up! 16- Ash Zombie #2 (North wall, behind bar. At 1 HP) #3 (Middle) Dead #4 (South) Taken 15 damage, looks hurt. 9- Hymir & Krodmad 8- Absinthe & Fjolnir","[{""creature"":{""words"":[[""Bits"",""fall"",""off""],[""Fjolnir,""]],""indices"":[[51,52,53],[21]]},""attack"":{""words"":[[""zombies""]],""indices"":[[25]]},""damageRoll"":{""words"":[[""8-""],[""9-""],[""15""],[""#2""],[""16-""],[""17-""],[""21-""],[""12""]],""indices"":[[90],[86],[82],[68],[65],[61],[57],[34]]},""attackRoll"":{""words"":[[""#3""],[""1""],[""#2""],[""#4.""],[""heap"",""flesh""],[""#3""]],""indices"":[[76],[74],[68],[56],[44,47],[36]]}},{""creature"":{""words"":[[""bobbing"",""weaving""]],""indices"":[[10,12]]},""target"":{""words"":[[""monk"",""off""]],""indices"":[[15,16]]}}]"
Absinthe moves 20ft to the east so as to pummel zombie 4 into mush. Lightbringer Attack: 7 Damage: 10 Kick to knee Attack: 11 Damage: 6,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""spell"":{""words"":[[""pummel""]],""indices"":[[9]]},""feature"":{""words"":[[""zombie""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""11""],[""7""],[""4""]],""indices"":[[23],[16],[11]]},""attack"":{""words"":[[""to"",""knee""],[""Kick""],[""Lightbringer""]],""indices"":[[20,21],[19],[14]]},""damageRoll"":{""words"":[[""6""],[""10""]],""indices"":[[25],[18]]}}]"
Absinthe moves north one square and opens the door to his left. Save for dodge.,"[{""creature"":{""words"":[[""opens"",""the"",""door""],[""Absinthe"",""moves""]],""indices"":[[6,7,8],[0,1]]},""savingThrow"":{""words"":[[""Save"",""for"",""dodge.""]],""indices"":[[12,13,14]]}}]"
Absinthe starts stomping on orc 5 Stomp Attack: 13 Damage: 7 Second Stomp Attack: 16 Damage: 6 Then proceeds to shackle the leader.,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""attack"":{""words"":[[""Stomp""],[""Stomp""],[""stomping""]],""indices"":[[12],[6],[2]]},""attackRoll"":{""words"":[[""16""],[""13""]],""indices"":[[14],[8]]},""damageRoll"":{""words"":[[""6""],[""7""]],""indices"":[[16],[10]]},""spell"":{""words"":[[""shackle""]],""indices"":[[20]]}}]"
"Absinthe, in all his naked glory, swings his Yklwa at the dragons eye in an attempt to gouge it out completely. Yklwa Attack: 23 Damage: 8 Followed by a punch to same eye. Eye punch Attack: 20 Damage: 4 And again with a Ki point. Second eye punch Attack: 22 Damage: 6","[{""creature"":{""words"":[[""eye""]],""indices"":[[46]]},""attack"":{""words"":[[""punch""]],""indices"":[[47]]},""attackRoll"":{""words"":[[""22""]],""indices"":[[49]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[51]]}},{""creature"":{""words"":[[""Eye""]],""indices"":[[33]]},""attack"":{""words"":[[""punch""]],""indices"":[[34]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[36]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[38]]}},{""creature"":{""words"":[[""Yklwa""]],""indices"":[[21]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[25]]},""attack"":{""words"":[[""punch""]],""indices"":[[29]]}},{""creature"":{""words"":[[""Absinthe,""]],""indices"":[[0]]},""target"":{""words"":[[""Yklwa""]],""indices"":[[8]]},""spell"":{""words"":[[""gouge""]],""indices"":[[17]]}}]"
"Almost everyone missed their shots this round, except Dirk who is winning at life. He gets a stab on the one against the north wall. And Az Emberi saved Absinthe from a slow death, but other than that, suck. The one in combat with Dirk swings again, attempting to down the bard and end their trading of blows. Attack: 17 Damage: 8 It connects, knocking the bard to the ground. The one against the East wall raises its morning star to bring it down on the just awoken monk's head. Attack: 18 Damage: 9 Absinthe too, succumbs to the world of unconsciousness The goblin saves: 5 He is fading fast, nearly bled out. 19- Dirk 13- Bugbears 1) Against East wall. Taken 23 damage, Looks rough 2) Against North wall. Taken 16 Damage, Looks hurt 3) Mosk, in middle of them. Dead 9- Absinthe 9- Hymir 7- Az Emberi 4- Fjolnir -Unconscious goblin [][][]/[X][X][] Absinthe, another Death save, Hymir is up, Then Az Emberi, then Fjolnir, then if Dirk is not up yet, I'll need a death save.","[{""attack"":{""words"":[[""19-"",""Dirk"",""13-"",""Bugbears""],[""monk's"",""head.""],[""blows.""]],""indices"":[[113,114,115,116],[88,89],[57]]},""attackRoll"":{""words"":[[""Fjolnir""],[""Az"",""Emberi"",""4-""],[""Hymir"",""7-""],[""Absinthe"",""9-""],[""Dead"",""9-""],[""18""],[""knocking""],[""17""]],""indices"":[[150],[147,148,149],[145,146],[143,144],[141,142],[91],[64],[59]]},""damageRoll"":{""words"":[[""16""],[""23""],[""9""],[""8""]],""indices"":[[131],[122],[93],[61]]},""savingThrow"":{""words"":[[""Dirk"",""death"",""save.""],[""Fjolnir,""],[""Hymir"",""up,"",""Az"",""Emberi,""],[""-Unconscious"",""goblin"",""Absinthe,"",""save,""],[""5""]],""indices"":[[168,176,177],[165],[158,160,162,163],[151,152,154,157],[105]]},""creature"":{""words"":[[""goblin"",""saves:"",""fading"",""fast,"",""bled"",""out.""]],""indices"":[[103,104,108,109,111,112]]}}]"
"Attack: 22 Damage: 4 In case I have the opportunity to boomerang this varmant, I intend to knock him out... so I can interrogate.","[{""attackRoll"":{""words"":[[""22""]],""indices"":[[1]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[3]]},""creature"":{""words"":[[""I""]],""indices"":[[6]]},""target"":{""words"":[[""this"",""varmant,""]],""indices"":[[12,13]]}}]"
Az Emberi Ba's wolfy and steps back behind fjolnir. Casts ice knife at number 2 atk. 10 dmg 7 All need to beat a dc 14 or take 4,"[{""creature"":{""words"":[[""Az"",""Emberi"",""Ba's""]],""indices"":[[0,1,2]]},""target"":{""words"":[[""fjolnir.""]],""indices"":[[8]]},""attack"":{""words"":[[""knife""]],""indices"":[[11]]},""attackRoll"":{""words"":[[""2""]],""indices"":[[14]]},""damageRoll"":{""words"":[[""4""],[""10""]],""indices"":[[28],[16]]},""savingThrow"":{""words"":[[""14""],[""7""]],""indices"":[[25],[18]]}}]"
"Az Emberi darts through the water, feeling natural in his new shark form, and bites the priestess in half. Fjolnir gets 2 arrows off at the other one, who is riding the shark, after moving his mark. Both hit the rider, for a total of 26 damage. The first mate and Bosun continue firing at the shark. Attack: 5 Damage: 8 / Attack: 11 Damage: 3 both miss due to the difficulty of firing underwater, even though the shark is glowing pink. The priestess atop the shark calls out to her fishy goddess, and brings forth a bolt of searing light through the water at Fjolnir, who just pelted her with arrows. Attack: 9 Damage: 20 but fails to connect with the powerful blow as Fjolnir swivels to the side. Absinthe is up! 19 Dirk 18/32 +5 (d6 Bardic Inspiration) 17 Dustfinger 10/33 +5 16 Guards (Holding Attacks) 16 Sahuagin Baron 13 Captain & Keel Breaker (Taken 96 damage to underside) 12 Az Emberi 34/38 +5 12 Fjolnir 30/54 +5 (C on Hunter's Mark) 12 First Mate & Bosun 11 Sahuagin Priestess #1 (1st: X 2nd: X 3rd: XXX) (Taken 26 damage, looks hurt, Faerie Fired, Hunter's Marked) #2 Dead 10 Sahuagin 9 Absinthe 23/43 9 Garrett (1st [X][][][] / Inspirations: [X][X][X]) 8 Giant Shark (Taken 48 damage, Faerie Fired, Hexed INT) 7 Mary (C on Hex, 3rd: [X][X]) 2 Gearbox","[{""creature"":{""words"":[[""Gearbox""],[""Mary""],[""Garrett""],[""Sahuagin"",""Absinthe""],[""Dustfinger"",""Sahuagin"",""Baron"",""Captain"",""Keel"",""Breaker"",""Az"",""Emberi"",""Fjolnir"",""First"",""Mate"",""Bosun"",""Sahuagin"",""Priestess""],[""Absinthe""]],""indices"":[[230],[223],[206],[201,203],[141,149,150,152,154,155,162,163,167,175,176,178,180,181],[130]]},""damageRoll"":{""words"":[[""48""],[""26""]],""indices"":[[216],[190]]},""target"":{""words"":[[""Giant"",""Shark""]],""indices"":[[213,214]]}},{""creature"":{""words"":[[""priestess""]],""indices"":[[83]]},""spell"":{""words"":[[""fishy"",""goddess,""]],""indices"":[[91,92]]},""attack"":{""words"":[[""arrows.""],[""light""]],""indices"":[[111],[100]]},""target"":{""words"":[[""Fjolnir,""]],""indices"":[[105]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[113]]},""damageRoll"":{""words"":[[""20""]],""indices"":[[115]]}},{""creature"":{""words"":[[""first"",""mate"",""Bosun""]],""indices"":[[48,49,51]]},""feature"":{""words"":[[""shark.""]],""indices"":[[56]]},""attackRoll"":{""words"":[[""11""],[""5""]],""indices"":[[63],[58]]},""damageRoll"":{""words"":[[""3""],[""8""]],""indices"":[[65],[60]]}},{""creature"":{""words"":[[""Fjolnir""],[""Az"",""Emberi""]],""indices"":[[19],[0,1]]},""attack"":{""words"":[[""arrows""],[""darts""]],""indices"":[[22],[2]]},""feature"":{""words"":[[""shark,""],[""shark""]],""indices"":[[32],[11]]},""damageRoll"":{""words"":[[""26""]],""indices"":[[45]]}}]"
Az Emberi holds his hand in front of him palm up and conjures a small flame. He raises his hand above his head and closes his fist. Flames shoot out in the shape of a scimitar. He snarls and brings the scimita down. Eyes and teeth showing intent to kill. Atk 20 adv. 18 Dmg. 14  last second gains his wits and begrudgingly aims for non lethal.,"[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""spell"":{""words"":[[""flame."",""scimitar.""]],""indices"":[[15,35]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[51]]},""savingThrow"":{""words"":[[""18""]],""indices"":[[53]]},""damageRoll"":{""words"":[[""14""]],""indices"":[[55]]}}]"
Az Emberi stands up slowly and moves just south of dirk. He spits some blood on the ground. He touches Dirk's shoulder and casts cure wounds 4 Ba Magic Stones,"[{""attack"":{""words"":[[""Magic"",""Stones""],[""spits""]],""indices"":[[28,29],[12]]},""target"":{""words"":[[""Dirk's""]],""indices"":[[20]]},""attackRoll"":{""words"":[[""4""]],""indices"":[[26]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""target"":{""words"":[[""dirk.""]],""indices"":[[10]]}}]"
Az Emberi stretches. Lets check that othe room directly west of us. I think I saw a doir to it on the south side. Then we'll proceed north.,"[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""spell"":{""words"":[[""stretches.""]],""indices"":[[2]]},""target"":{""words"":[[""doir""]],""indices"":[[17]]}}]"
"Az Emberi's Spike Growth stabs up through the cultists' feet before they're able to stop running. 4 Fjolnir utters his incantation, misses his first shot but squarely connects with the second. An instant later thorns burst from the arrow embedded in the cultist's corpse and forces the adjacent ones to dodge the hail of thorns: 4 4 18 7 5 Cultists: Favric) Taken 8 damage 2) Taken 4 damage 3) DED 4) Taken 6 damage, looks hurt 5) Taken 8 damage, looks rough 6) Taken 8 damage, looks rough Dirk moves back to the cottage and uses a Faerie Fire spell to encompass all of the cultists. 13 9 8 18 17 Two of them fail to get out of the way in time, and are encased in a gay purple light. Favric yells in response to Krodmad's message. 'Serving beneath a dragon is the zenith of life! We will be honored to be in it's presence. Great dragon we offer these morsels to you as tribute!' Then he pauses for Absinthe's limp-fisted taunting and looks at all his people, 'None of us have children.' They all use a dash action to get out of the ring of spikes and around it through the bushes, but don't make it far.  Hymir and Az Emberi are up.","[{""target"":{""words"":[[""Hymir"",""Az"",""Emberi""]],""indices"":[[210,212,213]]}},{""creature"":{""words"":[[""Absinthe's""],[""Krodmad's""],[""Dirk""]],""indices"":[[171],[137],[89]]},""attack"":{""words"":[[""ring"",""of"",""spikes""],[""limp-fisted""],[""dragon""],[""Faerie"",""Fire""]],""indices"":[[196,197,198],[172],[142],[98,99]]},""target"":{""words"":[[""Favric""]],""indices"":[[132]]},""spell"":{""words"":[[""morsels""]],""indices"":[[162]]}},{""damageRoll"":{""words"":[[""8"",""8""],[""6""],[""4""]],""indices"":[[79,85],[73],[67]]}},{""creature"":{""words"":[[""Az"",""Emberi's""]],""indices"":[[0,1]]},""attack"":{""words"":[[""arrow""],[""thorns"",""burst""],[""Spike""]],""indices"":[[38],[34,35],[2]]},""target"":{""words"":[[""Fjolnir""]],""indices"":[[17]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[63]]}}]"
BA shillelagh Attack goblin up front 10 dmg. 7 I yell into the fog 'Grol is dead. If any of you are intrested in helping us slay a dragon your life will be spared.' Inemidation/persuasion same modifier 10,"[{""creature"":{""words"":[[""BA"",""shillelagh""]],""indices"":[[0,1]]},""target"":{""words"":[[""'Grol""],[""goblin""]],""indices"":[[14],[3]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[6]]},""attackRoll"":{""words"":[[""7""]],""indices"":[[8]]},""attack"":{""words"":[[""dragon""]],""indices"":[[28]]},""spell"":{""words"":[[""Inemidation/persuasion""]],""indices"":[[34]]},""savingThrow"":{""words"":[[""10""]],""indices"":[[37]]}}]"
"Beard singed and face ashen, the dwarf wipes soot from his eyes, backs another few paces up, draws two arrows and sails one at the rough form of the entity he sees over smoking moustache, and the other at the flaming skull. Longbow 22 Dmg 7 Murmansk Hordebreaker 19 Dmg 11 Nick Cage","[{""creature"":{""words"":[[""soot""]],""indices"":[[8]]},""target"":{""words"":[[""eyes,""]],""indices"":[[11]]},""attack"":{""words"":[[""Murmansk"",""Hordebreaker""],[""Longbow""],[""flaming"",""skull.""],[""sails""],[""arrows""],[""paces""]],""indices"":[[46,47],[42],[40,41],[21],[19],[15]]},""spell"":{""words"":[[""smoking"",""moustache,""]],""indices"":[[33,34]]},""damageRoll"":{""words"":[[""19""],[""22""]],""indices"":[[48],[43]]},""attackRoll"":{""words"":[[""11""],[""7""]],""indices"":[[50],[45]]}}]"
"Between Dustfinger and Fjolnir's attacks on the thing, more damage was done, and it is starting to show signs of wear. Az Emberi plunges his hand into the acidic ooze cube, trying to wrest free his friend, but he is unable to make much headway, and the burning acid that he wasn't expecting forces him to let go before he can. You take 15 Acid Damage. Round 2: Da Cubes! 25- Hymir (Engulfed: can't breathe, is restrained) 22- Absinthe 18- Dustfinger 16- Dirk 14- Cube: Taken 65 damage, Digesting Hymir 10- Fjolnir 6- Az Emberi Hymir, Absinthe, Dustfinger and Dirk are up for round 3!","[{""creature"":{""words"":[[""Digesting"",""Hymir"",""Fjolnir""],[""Dustfinger"",""Fjolnir's""]],""indices"":[[88,89,91],[1,3]]},""target"":{""words"":[[""Az"",""Emberi"",""Hymir,"",""Absinthe,"",""Dustfinger"",""Dirk""],[""Az"",""Emberi""]],""indices"":[[93,94,95,96,97,99],[21,22]]},""attack"":{""words"":[[""Acid"",""Damage."",""Da"",""Cubes!"",""Hymir"",""Absinthe"",""Dustfinger"",""Dirk"",""Cube:""],[""burning"",""acid""],[""acidic"",""ooze"",""cube,""]],""indices"":[[64,65,68,69,71,78,80,82,84],[47,48],[28,29,30]]},""damageRoll"":{""words"":[[""10-"",""6-""],[""65""],[""14-""],[""16-""],[""18-""],[""22-""],[""25-""],[""15""]],""indices"":[[90,92],[86],[83],[81],[79],[77],[70],[63]]}}]"
"Boop! I manage to touch absinthe from my web with L1 cure wounds 7 I know I should get out of this, but it's actually quite comfortable. Guys guys, come on in the room, don't be rude now. Mantle of inspiration on Absinthe, Az, Fjolnir and dust. Soak up that +5 hp yall. (marked my uses)","[{""creature"":{""words"":[[""Absinthe,""],[""absinthe""]],""indices"":[[42],[5]]},""spell"":{""words"":[[""wounds""]],""indices"":[[12]]},""savingThrow"":{""words"":[[""+5""],[""7""]],""indices"":[[50],[13]]},""target"":{""words"":[[""dust.""],[""Az,"",""Fjolnir""]],""indices"":[[46],[43,44]]}}]"
"Both Absinthe and Dirk feel their extremities tighten and their arms and legs get harder to move, but they are able to shake the effects of paralyzation. Hymir and Dirk are up.","[{""creature"":{""words"":[[""Absinthe"",""Dirk""]],""indices"":[[1,3]]},""spell"":{""words"":[[""paralyzation.""]],""indices"":[[26]]},""target"":{""words"":[[""Hymir"",""Dirk""]],""indices"":[[27,29]]}}]"
Charisma: 18 ****ing wisdom: 4,[]
Con 1. 13 Con 2. 13 Atk with club. 9 Dmg. 3,"[{""attackRoll"":{""words"":[[""13"",""13"",""9""]],""indices"":[[2,5,9]]},""damageRoll"":{""words"":[[""1."",""3"",""2.""]],""indices"":[[1,11,4]]}}]"
Cure wounds on Absinthe. 11 Ba shift Perception 16 Adv. 8,"[{""attackRoll"":{""words"":[[""16""],[""Cure"",""wounds""]],""indices"":[[8],[0,1]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[3]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[10]]}}]"
"Currently, all of you on the top deck see a multitude of large shapes surrounding the boat underwater. They appear fish-like in their movement, yet they seem to have arm-like limbs or fins toward the front. It's impossible to make out any more details through the waves, but they are keeping pace with the boat. Absinthe and Dustfinger, as well as the rest of the crew below deck, hears the captain's call to arms. 10 14 19 Notes: The rigging can be climbed without making any kind of check, it is around the mast and will allow you to cross the center of the ship to get to the other side without going around. You can make a ranged attack against any one of the creatures if you're above deck and against that side of the ship, but since they're a few feet underwater it will be at disadvantage. There are 9 dark shapes underwater on either side of the boat. Let me know if you would like to start from a different location, you can be anywhere on the boat. There are 2 people operating each boat-mounted weapon. If there is ever not 2 people on a weapon, it will not be able to fire. Anyone may take the place of a weapon operator if they fall, but for the most part the other guards lined up along the sides of the deck will take care of that. Mary, Garrett, and Gearbox are on the map and will act on their turns. Anyone, on their turn, can call out what you want them to do as a free action, otherwise they will act to the best of their abilities. However, now that they are aiding the party they can be targeted. Captain Miggetter, His first mate and bosun are on the map. The captain will be calling orders and keeping the ship on course, the other two will act as his bodyguards to make sure he can continue doing that.  Absinthe and Dirk are up. 21- Absinthe 19- Dirk 19- Gearbox 16- Captain and Mangonels 14- Mary 14- Fjolnir 12- Dustfinger 10- Garrett 9- First Mate and Bosun 8- Az Emberi 8- Guards 8- ??? 4- Ballistae","[{""creature"":{""words"":[[""Gearbox"",""Captain"",""Mangonels"",""Mary""],[""Absinthe"",""Dirk""],[""Absinthe"",""Dirk""],[""Miggetter,""],[""Absinthe"",""Dustfinger,""]],""indices"":[[341,343,345,347],[337,339],[331,333],[293],[55,57]]},""attack"":{""words"":[[""boat-mounted"",""weapon.""],[""creatures""]],""indices"":[[187,188],[125]]},""feature"":{""words"":[[""Mary,"",""Garrett,"",""Gearbox""]],""indices"":[[239,240,242]]},""target"":{""words"":[[""First"",""Mate"",""Bosun"",""Az"",""Emberi"",""Guards"",""Ballistae""],[""Garrett""],[""Dustfinger""],[""Fjolnir""]],""indices"":[[355,356,358,360,361,363,367],[353],[351],[349]]},""damageRoll"":{""words"":[[""21-"",""19-"",""19-"",""16-"",""14-"",""14-"",""12-"",""10-"",""9-"",""8-"",""8-"",""8-"",""4-""]],""indices"":[[336,338,340,342,346,348,350,352,354,359,362,364,366]]}}]"
Death Save! 17,"[{""savingThrow"":{""words"":[[""17""]],""indices"":[[2]]}}]"
