WorkerId,Input.prompt,Answer.answer
Adrian,"Hymir hacks up a lung, tries to duck out of the way of a couple zombie flails, Attack: 21 Damage: 6 Attack: 23 Damage: 6 , taking 12 total damage, and falters in an attack on the NE zombie, sending the bolt harmlessly into the wall. But at least he catches his breath once he's clear of the ash cloud, ready to make his next round better. Krodmad ducks out of the way of the ash puff, which is easy because he's so low to the ground. Then he clambers over the bar which is a little taller than he is, and lands flat on the ground behind it. But he still manages to shoot a zombie in the face point blank. 4 The arrow goes through its skull and it slumps to the ground, any un-life it had now gone. Fjolnir Backs away out through the door since the zombie next to him was busy with slapping Hymir, and fires an arrow at both zombies there. Both arrows hit! Puffs of ash rise off of each one, and Az Emberi and Krodmad must now make a CON save, DC 10 , or suffer the Ash Puff ! Krodmad ducks under the effects of the ash cloud again, holding his breath until it settles. Absinthe takes Fjolnir's place in the room and swings with his not so trusty yklwa, and the zombie doesn't notice. However, the judo (whatever that is) chop to the neck hits some rotting muscle, snapping it and giving the zombie even more tilt than previously.  21- Az Emberi 17- Dirk (Suffering from ash puff) 16- Ash Zombie #1 (behind bar) Dead #2 (Top wall) Taken 10 damage #3 Taken 12 damage, looks... more damaged than the others. #4 Taken 5 damage 9- Hymir & Krodmad 8- Absinthe & Fjolnir Az Emberi and Dirk are up. Remember Dirk, you have disadvantage on all your rolls, do to hacking up ash.","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[141]]},""attack"":{""words"":[[""arrow""]],""indices"":[[162]]},""target"":{""words"":[[""both"",""zombies""]],""indices"":[[164,165]]}},{""creature"":{""words"":[[""Krodmad""]],""indices"":[[67]]},""attack"":{""words"":[[""shoot""]],""indices"":[[114]]},""target"":{""words"":[[""zombie""]],""indices"":[[116]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[122]]}},{""creature"":{""words"":[[""zombie""]],""indices"":[[15]]},""attack"":{""words"":[[""flails,""]],""indices"":[[16]]},""target"":{""words"":[[""Hymir""]],""indices"":[[0]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[22]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[24]]}},{""target"":{""words"":[[""Hymir""]],""indices"":[[0]]},""creature"":{""words"":[[""zombie""]],""indices"":[[15]]},""attack"":{""words"":[[""flails,""]],""indices"":[[16]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[18]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[20]]}}]"
Adrian,Initiative 7,[]
Adrian,"I rush to Absinthe to cast lvl 2 cure wounds 9 I mean I charge forward, dash and take another shot at the worst off looking wolf. Attack: 5 Damage: 3","[{""creature"":{""words"":[[""I""]],""indices"":[[13]]},""attack"":{""words"":[[""shot""]],""indices"":[[20]]},""target"":{""words"":[[""wolf.""]],""indices"":[[26]]},""attackRoll"":{""words"":[[""5""]],""indices"":[[28]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[30]]}},{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[3]]},""spell"":{""words"":[[""cure"",""wounds""]],""indices"":[[8,9]]},""damageRoll"":{""words"":[[""9""]],""indices"":[[10]]}}]"
Adrian,cast level 2 chromatic orb acid i roll an 18+5=23 for attack an dmg 22 then i move as far south possible after entering the room,"[{""spell"":{""words"":[[""chromatic"",""orb""]],""indices"":[[3,4]]},""attackRoll"":{""words"":[[""18+5=23""]],""indices"":[[9]]},""damageRoll"":{""words"":[[""22""]],""indices"":[[14]]},""creature"":{""words"":[[""i""]],""indices"":[[6]]}}]"
Adrian,Snarling I swing my club at R1 Attack 23 Dmg 10 Az Emberi leans back and howls then turns and runs over to r3,"[{""creature"":{""words"":[[""I""]],""indices"":[[1]]},""attack"":{""words"":[[""club""]],""indices"":[[4]]},""target"":{""words"":[[""R1""]],""indices"":[[6]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[8]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[10]]}}]"
Adrian,Absinthe let's out a groan of relief as he finishes scratching that magical spot between the ballsack and the taint. Moves to the north corner of the building and attempts to chip away at the nearest zombie/sprig/monster thing. Yklwa Attack: 11 Damage: 6 Upper cut Attack: 8 Damage: 3,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""zombie/sprig/monster"",""thing.""]],""indices"":[[36,37]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[46]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[48]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""zombie/sprig/monster"",""thing.""]],""indices"":[[36,37]]},""attackRoll"":{""words"":[[""11""]],""indices"":[[40]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[42]]}}]"
Adrian,Instinctively Vengeance! I say in the most mocking imitation of Venomfang.,[]
Adrian,I move into the hallway to the spider and ba cast flame blade. I swing at it 14 dmg. 10,"[{""creature"":{""words"":[[""I""]],""indices"":[[0]]},""target"":{""words"":[[""spider""]],""indices"":[[7]]},""spell"":{""words"":[[""flame"",""blade.""]],""indices"":[[11,12]]},""attackRoll"":{""words"":[[""14""]],""indices"":[[17]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[19]]}}]"
Adrian,Fjolnir trots over about 20 feet to the East and starts squealing arrows at the 2nd and 3rd revellers in the rotting conga line. Longbow 17 Dmg 11 Hordebreaker 8 Dmg 11,"[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""revellers""]],""indices"":[[18]]},""attackRoll"":{""words"":[[""8""]],""indices"":[[29]]},""damageRoll"":{""words"":[[""11""]],""indices"":[[31]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""target"":{""words"":[[""revellers""]],""indices"":[[18]]},""attackRoll"":{""words"":[[""17""]],""indices"":[[25]]},""damageRoll"":{""words"":[[""11""]],""indices"":[[27]]}}]"
Adrian,"""Unless I can make alcohol with anything in this room, I have no further interest in this cave let's get out of here before someone else comes.""",[]
Adrian,"After the team has finished their slumber party, Dustfinger summons his dancing lights again and shoots them down the unexplored hallway. One light above him, three others spread out down the hall 20' apart from each other as far as they can go.","[{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[8]]},""spell"":{""words"":[[""dancing"",""lights""]],""indices"":[[11,12]]}}]"
Adrian,"The twig blights, as usual, don't carry anything. No one notices anything in the building you were headed to, either.",[]
Adrian,"""NNnnnyope! Definitely feeling leery about the room you all are standing in as it is."" I change my mind, but I'll camp closer to the bridge... probably give way and kill me anyway. Looking around anyway 6",[]
Adrian,"Fjolnir grumbles to himself about the hard floor from sleeping while packing his bedroll back up and walks to the hallway- cautiously looking for anymore signs of ice landmines, animate snot, bladed clockwork, or the like. Stealth 8 Perception 6",[]
Adrian,I quickly and quietly close the door if there's a way to lock it with the key I do. Initiative 8,[]
Adrian,"Absinthe, frightened by ghost 1, begins to rage and scream swings at the ghost with fury. Sword Attack: 20 Damage: 10 Punch Attack: 21 Damage: 5 Ki point punch Attack: 16 Damage: 7 ""Rage!""","[{""creature"":{""words"":[[""Absinthe,""]],""indices"":[[0]]},""target"":{""words"":[[""ghost"",""1,""]],""indices"":[[3,4]]},""feature"":{""words"":[[""Ki"",""point""]],""indices"":[[26,27]]},""attack"":{""words"":[[""punch""]],""indices"":[[28]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[30]]},""damageRoll"":{""words"":[[""7""]],""indices"":[[32]]}},{""creature"":{""words"":[[""Absinthe,""]],""indices"":[[0]]},""target"":{""words"":[[""ghost"",""1,""]],""indices"":[[3,4]]},""attack"":{""words"":[[""Punch""]],""indices"":[[21]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[25]]}},{""creature"":{""words"":[[""Absinthe,""]],""indices"":[[0]]},""target"":{""words"":[[""ghost"",""1,""]],""indices"":[[3,4]]},""attack"":{""words"":[[""Sword""]],""indices"":[[16]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[18]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[20]]}}]"
undefined,"He draws another arrow from the quiver, ""Who the **** is Seagal, another Monk?!"" he says, while shaking the arrow violently as though it were defective, and quickly loosing it at the restrained creature. Attack 12 Damage 10","[{""creature"":{""words"":[[""He""]],""indices"":[[0]]},""attack"":{""words"":[[""arrow""]],""indices"":[[19]]},""target"":{""words"":[[""restrained"",""creature.""]],""indices"":[[32,33]]},""attackRoll"":{""words"":[[""12""]],""indices"":[[35]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[37]]}}]"
undefined,"Tries it again, shortsword Attack: 11 Damage: 8 , dagger Attack: 18 Damage: 3","[{""attack"":{""words"":[[""dagger""]],""indices"":[[9]]},""attackRoll"":{""words"":[[""18""]],""indices"":[[11]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[13]]}},{""attack"":{""words"":[[""shortsword""]],""indices"":[[3]]},""attackRoll"":{""words"":[[""11""]],""indices"":[[5]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[7]]}}]"
Adrian,"Critical hit, rolling all damage dice again (total 3d6, and adding 17 original damage) 28","[{""damageRoll"":{""words"":[[""28""]],""indices"":[[14]]}}]"
Adrian,A most vicious mockery for this thing. You look and smell like ten tabaxians slap boxing in a pool of hot urine expelled from dwarves whose sole diet is artichoke and mango. A smell I would call sweet and ho. 3,"[{""spell"":{""words"":[[""vicious"",""mockery""]],""indices"":[[2,3]]},""target"":{""words"":[[""thing.""]],""indices"":[[6]]},""damageRoll"":{""words"":[[""3""]],""indices"":[[40]]}}]"
Adrian,"Fjolnir slaps his face, sighs, and rubs his nose and eye, before dragging his hand away disheveling his moustache. He hikes his belt up and heads out to the mouth of the discovered room to cover Dirk and Absinthe, palming a few arrows on the way.",[]
Adrian,"Fjolnir loops his bow over his neck and pulls the dagger from his waist, draws the scimitar, and wildly swings at the brigand in front of him: Scimitar Atk. 10 Dmg. 5 Dagger Atk. 20 Dmg. 4","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""Dagger""]],""indices"":[[32]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[34]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[36]]}},{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""Scimitar""]],""indices"":[[27]]},""attackRoll"":{""words"":[[""10""]],""indices"":[[29]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[31]]}}]"
Adrian,"Fjolnir slips along the wall to the east side of the room and scans for anything else around to be used as a viable alternative to melee. Perception 10 Finding nothing, he sighs heavily- pulls hew from its lashing, closes the distance and swings to the fences. Hew 9 dmg 11","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""Hew""]],""indices"":[[47]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[48]]},""damageRoll"":{""words"":[[""11""]],""indices"":[[50]]}}]"
undefined,"Dustfinger rushes up to Ab's left flank and Technoviking points toward the unfortunate Gog for whom the bell tolls. Their ringing fills the air, growing dread in every clang. Toll The Dead, Gog makes WIS save vs 14 or take 1 damage.","[{""creature"":{""words"":[[""Technoviking""]],""indices"":[[8]]},""target"":{""words"":[[""Gog""]],""indices"":[[13]]},""spell"":{""words"":[[""Toll"",""The"",""Dead,""]],""indices"":[[29,30,31]]},""damageRoll"":{""words"":[[""1""]],""indices"":[[40]]}}]"
