input,tags
"Absinthe charges headlong into the fray, as he does. He closes a significant distance, much to the surprise of the hobgoblins marching in the party's direction. The wolves, at first simply running forward, focus on the giant of a man now closest to them, and dash to meet him. 19- Absinthe / 120' away from hobgoblins / 30' away from wolves 15- Dirk 15- Wolves / AC 13 / HP 11 / 110' away from party 1) 2) 14- Hymir 12- Az Emberi 8- Fjolnir 7- Hobgoblins / AC 18 / HP 11 / 200' away 1) 2) Targor) Taken 5 damage. 3) 5- Dustfinger Dirk, Hymir and Fjolnir are up! Az Emberi hears the sounds of combat and rushes to an exit (I'll let you decide which one, but it'll take your turn to get there. You are still unseen to them.)","[{""creature"":{""words"":[[""Hymir"",""Fjolnir""],[""Dustfinger"",""Dirk,""]],""indices"":[[106,108],[104,105]]},""target"":{""words"":[[""Az"",""Emberi""]],""indices"":[[111,112]]}},{""target"":{""words"":[[""Targor)""]],""indices"":[[98]]},""damageRoll"":{""words"":[[""5""]],""indices"":[[100]]}},{""damageRoll"":{""words"":[[""14-"",""12-"",""8-"",""7-""],[""19-"",""15-"",""15-""]],""indices"":[[78,80,83,85],[49,61,63]]}},{""creature"":{""words"":[[""Dirk""],[""Absinthe""]],""indices"":[[62],[50]]},""target"":{""words"":[[""hobgoblins""]],""indices"":[[55]]},""attack"":{""words"":[[""Wolves""],[""wolves""]],""indices"":[[64],[60]]}},{""creature"":{""words"":[[""wolves,""]],""indices"":[[27]]}},{""creature"":{""words"":[[""hobgoblins""],[""Absinthe""]],""indices"":[[20],[0]]},""attack"":{""words"":[[""headlong""]],""indices"":[[2]]},""target"":{""words"":[[""fray,""]],""indices"":[[5]]}}]"
Absinthe helps sever the head of Venomfang again. Then he cuts a hole between Venomfangs hind legs just before the tail and stuffs the neck up the newly created ass hole. Strength check: 20,"[{""target"":{""words"":[[""Venomfangs""]],""indices"":[[14]]},""feature"":{""words"":[[""tail"",""stuffs""]],""indices"":[[20,22]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[33]]}},{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""target"":{""words"":[[""Venomfang""]],""indices"":[[6]]}}]"
Absinthe moves 20ft to the east so as to pummel zombie 4 into mush. Lightbringer Attack: 7 Damage: 10 Kick to knee Attack: 11 Damage: 6,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""spell"":{""words"":[[""pummel""]],""indices"":[[9]]},""feature"":{""words"":[[""zombie""]],""indices"":[[10]]},""attackRoll"":{""words"":[[""11""],[""7""],[""4""]],""indices"":[[23],[16],[11]]},""attack"":{""words"":[[""to"",""knee""],[""Kick""],[""Lightbringer""]],""indices"":[[20,21],[19],[14]]},""damageRoll"":{""words"":[[""6""],[""10""]],""indices"":[[25],[18]]}}]"
Absinthe moves north one square and opens the door to his left. Save for dodge.,"[{""creature"":{""words"":[[""opens"",""the"",""door""],[""Absinthe"",""moves""]],""indices"":[[6,7,8],[0,1]]},""savingThrow"":{""words"":[[""Save"",""for"",""dodge.""]],""indices"":[[12,13,14]]}}]"
Absinthe starts stomping on orc 5 Stomp Attack: 13 Damage: 7 Second Stomp Attack: 16 Damage: 6 Then proceeds to shackle the leader.,"[{""creature"":{""words"":[[""Absinthe""]],""indices"":[[0]]},""attack"":{""words"":[[""Stomp""],[""Stomp""],[""stomping""]],""indices"":[[12],[6],[2]]},""attackRoll"":{""words"":[[""16""],[""13""]],""indices"":[[14],[8]]},""damageRoll"":{""words"":[[""6""],[""7""]],""indices"":[[16],[10]]},""spell"":{""words"":[[""shackle""]],""indices"":[[20]]}}]"
"Absinthe, in all his naked glory, swings his Yklwa at the dragons eye in an attempt to gouge it out completely. Yklwa Attack: 23 Damage: 8 Followed by a punch to same eye. Eye punch Attack: 20 Damage: 4 And again with a Ki point. Second eye punch Attack: 22 Damage: 6","[{""creature"":{""words"":[[""eye""]],""indices"":[[46]]},""attack"":{""words"":[[""punch""]],""indices"":[[47]]},""attackRoll"":{""words"":[[""22""]],""indices"":[[49]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[51]]}},{""creature"":{""words"":[[""Eye""]],""indices"":[[33]]},""attack"":{""words"":[[""punch""]],""indices"":[[34]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[36]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[38]]}},{""creature"":{""words"":[[""Yklwa""]],""indices"":[[21]]},""attackRoll"":{""words"":[[""23""]],""indices"":[[23]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[25]]},""attack"":{""words"":[[""punch""]],""indices"":[[29]]}},{""creature"":{""words"":[[""Absinthe,""]],""indices"":[[0]]},""target"":{""words"":[[""Yklwa""]],""indices"":[[8]]},""spell"":{""words"":[[""gouge""]],""indices"":[[17]]}}]"
"Attack: 22 Damage: 4 In case I have the opportunity to boomerang this varmant, I intend to knock him out... so I can interrogate.","[{""attackRoll"":{""words"":[[""22""]],""indices"":[[1]]},""damageRoll"":{""words"":[[""4""]],""indices"":[[3]]},""creature"":{""words"":[[""I""]],""indices"":[[6]]},""target"":{""words"":[[""this"",""varmant,""]],""indices"":[[12,13]]}}]"
Az Emberi Ba's wolfy and steps back behind fjolnir. Casts ice knife at number 2 atk. 10 dmg 7 All need to beat a dc 14 or take 4,"[{""creature"":{""words"":[[""Az"",""Emberi"",""Ba's""]],""indices"":[[0,1,2]]},""target"":{""words"":[[""fjolnir.""]],""indices"":[[8]]},""attack"":{""words"":[[""knife""]],""indices"":[[11]]},""attackRoll"":{""words"":[[""2""]],""indices"":[[14]]},""damageRoll"":{""words"":[[""4""],[""10""]],""indices"":[[28],[16]]},""savingThrow"":{""words"":[[""14""],[""7""]],""indices"":[[25],[18]]}}]"
"Az Emberi darts through the water, feeling natural in his new shark form, and bites the priestess in half. Fjolnir gets 2 arrows off at the other one, who is riding the shark, after moving his mark. Both hit the rider, for a total of 26 damage. The first mate and Bosun continue firing at the shark. Attack: 5 Damage: 8 / Attack: 11 Damage: 3 both miss due to the difficulty of firing underwater, even though the shark is glowing pink. The priestess atop the shark calls out to her fishy goddess, and brings forth a bolt of searing light through the water at Fjolnir, who just pelted her with arrows. Attack: 9 Damage: 20 but fails to connect with the powerful blow as Fjolnir swivels to the side. Absinthe is up! 19 Dirk 18/32 +5 (d6 Bardic Inspiration) 17 Dustfinger 10/33 +5 16 Guards (Holding Attacks) 16 Sahuagin Baron 13 Captain & Keel Breaker (Taken 96 damage to underside) 12 Az Emberi 34/38 +5 12 Fjolnir 30/54 +5 (C on Hunter's Mark) 12 First Mate & Bosun 11 Sahuagin Priestess #1 (1st: X 2nd: X 3rd: XXX) (Taken 26 damage, looks hurt, Faerie Fired, Hunter's Marked) #2 Dead 10 Sahuagin 9 Absinthe 23/43 9 Garrett (1st [X][][][] / Inspirations: [X][X][X]) 8 Giant Shark (Taken 48 damage, Faerie Fired, Hexed INT) 7 Mary (C on Hex, 3rd: [X][X]) 2 Gearbox","[{""creature"":{""words"":[[""Gearbox""],[""Mary""],[""Garrett""],[""Sahuagin"",""Absinthe""],[""Dustfinger"",""Sahuagin"",""Baron"",""Captain"",""Keel"",""Breaker"",""Az"",""Emberi"",""Fjolnir"",""First"",""Mate"",""Bosun"",""Sahuagin"",""Priestess""],[""Absinthe""]],""indices"":[[230],[223],[206],[201,203],[141,149,150,152,154,155,162,163,167,175,176,178,180,181],[130]]},""damageRoll"":{""words"":[[""48""],[""26""]],""indices"":[[216],[190]]},""target"":{""words"":[[""Giant"",""Shark""]],""indices"":[[213,214]]}},{""creature"":{""words"":[[""priestess""]],""indices"":[[83]]},""spell"":{""words"":[[""fishy"",""goddess,""]],""indices"":[[91,92]]},""attack"":{""words"":[[""arrows.""],[""light""]],""indices"":[[111],[100]]},""target"":{""words"":[[""Fjolnir,""]],""indices"":[[105]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[113]]},""damageRoll"":{""words"":[[""20""]],""indices"":[[115]]}},{""creature"":{""words"":[[""first"",""mate"",""Bosun""]],""indices"":[[48,49,51]]},""feature"":{""words"":[[""shark.""]],""indices"":[[56]]},""attackRoll"":{""words"":[[""11""],[""5""]],""indices"":[[63],[58]]},""damageRoll"":{""words"":[[""3""],[""8""]],""indices"":[[65],[60]]}},{""creature"":{""words"":[[""Fjolnir""],[""Az"",""Emberi""]],""indices"":[[19],[0,1]]},""attack"":{""words"":[[""arrows""],[""darts""]],""indices"":[[22],[2]]},""feature"":{""words"":[[""shark,""],[""shark""]],""indices"":[[32],[11]]},""damageRoll"":{""words"":[[""26""]],""indices"":[[45]]}}]"
Az Emberi holds his hand in front of him palm up and conjures a small flame. He raises his hand above his head and closes his fist. Flames shoot out in the shape of a scimitar. He snarls and brings the scimita down. Eyes and teeth showing intent to kill. Atk 20 adv. 18 Dmg. 14  last second gains his wits and begrudgingly aims for non lethal.,"[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""spell"":{""words"":[[""flame."",""scimitar.""]],""indices"":[[15,35]]},""attackRoll"":{""words"":[[""20""]],""indices"":[[51]]},""savingThrow"":{""words"":[[""18""]],""indices"":[[53]]},""damageRoll"":{""words"":[[""14""]],""indices"":[[55]]}}]"
Az Emberi stands up slowly and moves just south of dirk. He spits some blood on the ground. He touches Dirk's shoulder and casts cure wounds 4 Ba Magic Stones,"[{""attack"":{""words"":[[""Magic"",""Stones""],[""spits""]],""indices"":[[28,29],[12]]},""target"":{""words"":[[""Dirk's""]],""indices"":[[20]]},""attackRoll"":{""words"":[[""4""]],""indices"":[[26]]}},{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""target"":{""words"":[[""dirk.""]],""indices"":[[10]]}}]"
Az Emberi stretches. Lets check that othe room directly west of us. I think I saw a doir to it on the south side. Then we'll proceed north.,"[{""creature"":{""words"":[[""Az"",""Emberi""]],""indices"":[[0,1]]},""spell"":{""words"":[[""stretches.""]],""indices"":[[2]]},""target"":{""words"":[[""doir""]],""indices"":[[17]]}}]"
"Az Emberi's Spike Growth stabs up through the cultists' feet before they're able to stop running. 4 Fjolnir utters his incantation, misses his first shot but squarely connects with the second. An instant later thorns burst from the arrow embedded in the cultist's corpse and forces the adjacent ones to dodge the hail of thorns: 4 4 18 7 5 Cultists: Favric) Taken 8 damage 2) Taken 4 damage 3) DED 4) Taken 6 damage, looks hurt 5) Taken 8 damage, looks rough 6) Taken 8 damage, looks rough Dirk moves back to the cottage and uses a Faerie Fire spell to encompass all of the cultists. 13 9 8 18 17 Two of them fail to get out of the way in time, and are encased in a gay purple light. Favric yells in response to Krodmad's message. 'Serving beneath a dragon is the zenith of life! We will be honored to be in it's presence. Great dragon we offer these morsels to you as tribute!' Then he pauses for Absinthe's limp-fisted taunting and looks at all his people, 'None of us have children.' They all use a dash action to get out of the ring of spikes and around it through the bushes, but don't make it far.  Hymir and Az Emberi are up.","[{""target"":{""words"":[[""Hymir"",""Az"",""Emberi""]],""indices"":[[210,212,213]]}},{""creature"":{""words"":[[""Absinthe's""],[""Krodmad's""],[""Dirk""]],""indices"":[[171],[137],[89]]},""attack"":{""words"":[[""ring"",""of"",""spikes""],[""limp-fisted""],[""dragon""],[""Faerie"",""Fire""]],""indices"":[[196,197,198],[172],[142],[98,99]]},""target"":{""words"":[[""Favric""]],""indices"":[[132]]},""spell"":{""words"":[[""morsels""]],""indices"":[[162]]}},{""damageRoll"":{""words"":[[""8"",""8""],[""6""],[""4""]],""indices"":[[79,85],[73],[67]]}},{""creature"":{""words"":[[""Az"",""Emberi's""]],""indices"":[[0,1]]},""attack"":{""words"":[[""arrow""],[""thorns"",""burst""],[""Spike""]],""indices"":[[38],[34,35],[2]]},""target"":{""words"":[[""Fjolnir""]],""indices"":[[17]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[63]]}}]"
BA shillelagh Attack goblin up front 10 dmg. 7 I yell into the fog 'Grol is dead. If any of you are intrested in helping us slay a dragon your life will be spared.' Inemidation/persuasion same modifier 10,"[{""creature"":{""words"":[[""BA"",""shillelagh""]],""indices"":[[0,1]]},""target"":{""words"":[[""'Grol""],[""goblin""]],""indices"":[[14],[3]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[6]]},""attackRoll"":{""words"":[[""7""]],""indices"":[[8]]},""attack"":{""words"":[[""dragon""]],""indices"":[[28]]},""spell"":{""words"":[[""Inemidation/persuasion""]],""indices"":[[34]]},""savingThrow"":{""words"":[[""10""]],""indices"":[[37]]}}]"
"Beard singed and face ashen, the dwarf wipes soot from his eyes, backs another few paces up, draws two arrows and sails one at the rough form of the entity he sees over smoking moustache, and the other at the flaming skull. Longbow 22 Dmg 7 Murmansk Hordebreaker 19 Dmg 11 Nick Cage","[{""creature"":{""words"":[[""soot""]],""indices"":[[8]]},""target"":{""words"":[[""eyes,""]],""indices"":[[11]]},""attack"":{""words"":[[""Murmansk"",""Hordebreaker""],[""Longbow""],[""flaming"",""skull.""],[""sails""],[""arrows""],[""paces""]],""indices"":[[46,47],[42],[40,41],[21],[19],[15]]},""spell"":{""words"":[[""smoking"",""moustache,""]],""indices"":[[33,34]]},""damageRoll"":{""words"":[[""19""],[""22""]],""indices"":[[48],[43]]},""attackRoll"":{""words"":[[""11""],[""7""]],""indices"":[[50],[45]]}}]"
"Boop! I manage to touch absinthe from my web with L1 cure wounds 7 I know I should get out of this, but it's actually quite comfortable. Guys guys, come on in the room, don't be rude now. Mantle of inspiration on Absinthe, Az, Fjolnir and dust. Soak up that +5 hp yall. (marked my uses)","[{""creature"":{""words"":[[""Absinthe,""],[""absinthe""]],""indices"":[[42],[5]]},""spell"":{""words"":[[""wounds""]],""indices"":[[12]]},""savingThrow"":{""words"":[[""+5""],[""7""]],""indices"":[[50],[13]]},""target"":{""words"":[[""dust.""],[""Az,"",""Fjolnir""]],""indices"":[[46],[43,44]]}}]"
"Both Absinthe and Dirk feel their extremities tighten and their arms and legs get harder to move, but they are able to shake the effects of paralyzation. Hymir and Dirk are up.","[{""creature"":{""words"":[[""Absinthe"",""Dirk""]],""indices"":[[1,3]]},""spell"":{""words"":[[""paralyzation.""]],""indices"":[[26]]},""target"":{""words"":[[""Hymir"",""Dirk""]],""indices"":[[27,29]]}}]"
Charisma: 18 ****ing wisdom: 4,[]
Cure wounds on Absinthe. 11 Ba shift Perception 16 Adv. 8,"[{""attackRoll"":{""words"":[[""16""],[""Cure"",""wounds""]],""indices"":[[8],[0,1]]},""target"":{""words"":[[""Absinthe.""]],""indices"":[[3]]},""damageRoll"":{""words"":[[""8""]],""indices"":[[10]]}}]"
Death Save! 17,"[{""savingThrow"":{""words"":[[""17""]],""indices"":[[2]]}}]"
"Dirk gives Absinthe a bit of healing. Dustfinger stands ready. Absinthe tries to get ahead and punch something, but the webbing proves difficult to move through. He holds his attack as well. The two spiders reappear, one behind Dustfinger and one between Absinthe and Fjolnir, but before they get to strike, Dustfinger, Absinthe and Hymir release their readied actions. Absinthe slashes at the one that appeared behind him: Attack: 20 Damage: 7 and makes a small gash across it's backside. Dustfinger's flourishing attack slices off a mandible. Hymir's Firebolt chars a section of exoskeleton. The first spider attacks Dustfinger: Attack: 19 Damage: 11 / 8 But hits and destroys one of his duplicates. It then runs around to the other side of the pit. (Dustfinger used his reaction to use his held action, so no opportunity.) The second attacks Fjolnir: Attack: 21 Damage: 11 piercing, and Fjolnir must make a DC 11 CON Save or take 14 poison damage. (Then apply poison resistance again. I did not add any of the damage to your sheet yet.) A third phase spider runs out of a doorway in the hall, across the webs, bites at Absinthe, then phases out of the material plane. Attack: 10 Damage: 10 But in its haste it misses. Fjolnir must make his CON Save, then take his turn, and Hymir and Az Emberi are up.  Phase Spiders: Round 2 23- Dirk 22- Dustfinger (5/27 HP, 2 Mirror Image copies) 17- Absinthe (26/35 HP) 16- Phase Spiders 1) Taken 26 damage, Looks rough 2) Taken 12 damage 3) (Disappeared) 14- Fjolnir (28/44 HP) 14- Hymir 8- Az Emberi","[{""creature"":{""words"":[[""Fjolnir"",""Hymir"",""Az"",""Emberi""],[""Dirk"",""Dustfinger"",""Absinthe""]],""indices"":[[262,266,268,269],[233,235,243]]},""target"":{""words"":[[""Spiders""]],""indices"":[[248]]},""damageRoll"":{""words"":[[""12""],[""26""]],""indices"":[[257],[251]]}},{""target"":{""words"":[[""Spiders:""],[""Absinthe,""]],""indices"":[[229],[193]]},""creature"":{""words"":[[""Hymir"",""Az"",""Emberi""],[""Fjolnir""],[""spider""]],""indices"":[[222,224,225],[211],[179]]},""attackRoll"":{""words"":[[""10""]],""indices"":[[202]]},""damageRoll"":{""words"":[[""10""]],""indices"":[[204]]}},{""creature"":{""words"":[[""Fjolnir""],[""Fjolnir:""]],""indices"":[[146],[139]]},""attackRoll"":{""words"":[[""21""]],""indices"":[[141]]},""damageRoll"":{""words"":[[""14""],[""11""]],""indices"":[[156],[143]]},""attack"":{""words"":[[""piercing,""]],""indices"":[[144]]}},{""attackRoll"":{""words"":[[""19""],[""Absinthe"",""20""]],""indices"":[[100],[59,69]]},""damageRoll"":{""words"":[[""11""],[""7""]],""indices"":[[102],[71]]},""creature"":{""words"":[[""Dustfinger:""],[""Hymir's""],[""Dustfinger's""]],""indices"":[[98],[87],[80]]},""attack"":{""words"":[[""spider""],[""Firebolt""]],""indices"":[[96],[88]]}},{""creature"":{""words"":[[""Dustfinger,"",""Absinthe"",""Hymir""]],""indices"":[[51,52,54]]}},{""attack"":{""words"":[[""spiders""],[""Absinthe"",""punch""]],""indices"":[[34],[10,16]]},""target"":{""words"":[[""Fjolnir,""],[""Absinthe""],[""Dustfinger""]],""indices"":[[44],[42],[38]]}},{""target"":{""words"":[[""Dustfinger""]],""indices"":[[7]]}},{""creature"":{""words"":[[""Dirk""]],""indices"":[[0]]},""target"":{""words"":[[""Absinthe""]],""indices"":[[2]]},""spell"":{""words"":[[""healing.""]],""indices"":[[6]]}}]"
"Dirk webs the shit out of those unsuspecting stirges. (They make dex saves on their turn, we'll get to that soon.) 21 / 7 While Dirk was gyrating, Az Emberi hears something behind them, a leathery flapping noise, but he's too late to alert the rest of the party. Before he can call out, a loud rumbling is heard from behind the party is stunned to see Venomfang land just feet behind you. He is enraged and frothing at the prospect of destroying you, nothing like the deal-making young dragon you met before. ' VENGEANCE!!!' Az Emberi, you're up first. Then Venomfang. Surprise Round 21-Az Emberi 7 Venomfang","[{""attack"":{""words"":[[""Venomfang.""],[""dragon""],[""Venomfang""]],""indices"":[[101],[89],[67]]},""spell"":{""words"":[[""VENGEANCE!!!'""],[""frothing""],[""enraged""]],""indices"":[[94],[77],[75]]},""damageRoll"":{""words"":[[""21-Az""]],""indices"":[[104]]},""attackRoll"":{""words"":[[""7""]],""indices"":[[106]]}},{""creature"":{""words"":[[""Emberi""],[""Dirk"",""webs""]],""indices"":[[29],[0,1]]},""attack"":{""words"":[[""unsuspecting"",""stirges.""]],""indices"":[[7,8]]},""savingThrow"":{""words"":[[""gyrating,""],[""dex"",""saves""]],""indices"":[[27],[11,12]]},""attackRoll"":{""words"":[[""21"",""/"",""7""]],""indices"":[[21,22,23]]},""spell"":{""words"":[[""flapping""]],""indices"":[[36]]}}]"
"Dustfinger follows Dirk and nods to the ruined portal to the north. 'That looks like something our Goliath friend could put his back into.' Dustfinger moves carefully north along the eastern wall, watching for anything amiss. Inv 2 Per 16","[{""creature"":{""words"":[[""Dustfinger""],[""Goliath""],[""Dustfinger""]],""indices"":[[24],[17],[0]]},""target"":{""words"":[[""Dirk""]],""indices"":[[2]]},""savingThrow"":{""words"":[[""2""],[""amiss.""]],""indices"":[[37],[35]]},""attackRoll"":{""words"":[[""16""]],""indices"":[[39]]}}]"
"Dustfinger hears commotion outside, and whispers to the dwarf. 'Gundren sent us to help. You're untied now, so wait or run, but my sword is needed in the hall.' (Dust will move into the hall next to Hymir on his initiative tick, and take the rest of his action at that point.)","[{""creature"":{""words"":[[""Dustfinger""]],""indices"":[[0]]},""spell"":{""words"":[[""commotion"",""whispers"",""dwarf.""]],""indices"":[[2,5,8]]},""target"":{""words"":[[""'Gundren""]],""indices"":[[9]]},""attack"":{""words"":[[""sword""]],""indices"":[[23]]}}]"
"Dustfinger swears, knowing something like this would happen. He drops concentration on Hex so he can cover the area all around where Az is moonbeaming with faerie fire. (Dex vs 14) 'BLOCK THE DOORS! GIVE HIM NO WAY OUT!' Dusty is overcome with a particular ferocity to see this drow dead, but it's nothing personal. Drow just really hate each other.","[{""target"":{""words"":[[""Drow""]],""indices"":[[55]]},""spell"":{""words"":[[""hate""]],""indices"":[[58]]}},{""creature"":{""words"":[[""Dusty""]],""indices"":[[39]]},""spell"":{""words"":[[""ferocity""]],""indices"":[[45]]},""target"":{""words"":[[""drow""]],""indices"":[[49]]}},{""creature"":{""words"":[[""(Dex""],[""faerie"",""fire.""],[""Az""],[""Dustfinger""]],""indices"":[[28],[26,27],[22],[0]]},""attack"":{""words"":[[""moonbeaming""],[""concentration""]],""indices"":[[24],[10]]},""target"":{""words"":[[""14)""],[""Hex""]],""indices"":[[30],[12]]}}]"
"Fjolnir dashes to the second-southernmost rope to his immediate west, shouldering his longbow, and heaving Hew from overhead, down onto the rope along its iron stake. Hew 9 Dmg 6","[{""creature"":{""words"":[[""Fjolnir"",""dashes""]],""indices"":[[0,1]]},""attack"":{""words"":[[""rope""],[""Hew""],[""longbow,""],[""rope""]],""indices"":[[21],[15],[12],[5]]},""attackRoll"":{""words"":[[""9""]],""indices"":[[27]]},""damageRoll"":{""words"":[[""6""]],""indices"":[[29]]}}]"
"Fjolnir draws his scimitar and hand axe, and proceeds to swing wildly at the mini shit covered stink sack. Att 9 Dmg 6 Att 22 Dmg 6","[{""creature"":{""words"":[[""Fjolnir""]],""indices"":[[0]]},""attack"":{""words"":[[""scimitar"",""hand"",""axe,""]],""indices"":[[3,5,6]]},""target"":{""words"":[[""stink"",""sack.""],[""mini"",""shit""]],""indices"":[[17,18],[14,15]]},""attackRoll"":{""words"":[[""22""],[""9""]],""indices"":[[24],[20]]},""damageRoll"":{""words"":[[""6""],[""6""]],""indices"":[[26],[22]]}}]"
